Name,Developer,Producer,Genre,Operating System,Date Released
A-Men 2,Bloober Team,Bloober Team,"Adventure, Puzzle",Microsoft Windows,24-Jun-15
A-Train,Artdink,"Artdink, Maxis, Ocean Software",Vehicle Simulation Game,"Windows, Mac",1985
A-10 Cuba!,Parsoft Interactive,Activision,Flight simulator,"Windows, Mac",30-Nov-96
A.D. 2044,R.M.P. Software,LK Avalon,Adventure,Microsoft Windows,6-Sep-96
A.D.A.M. Life's Greatest Mysteries,Columbia Healthcare Corporation,Columbia Healthcare Corporation,Educational,Microsoft Windows,1996
A.D.A.M. The Inside Story,Columbia Healthcare Corporation,Columbia Healthcare Corporation,Educational,Microsoft Windows,1995
A.R.E.S.: Extinction Agenda,Extend Studio,"Origo Games, Aksys Games","Action, platform",Microsoft Windows,14-Dec-10
A Girls Fabric Face,Stanislaw Truchowskit,TurnVex,Adventure,Microsoft Windows,10-Mar-17
A Hat in Time,Gears for Breakfast,Gears for Breakfast,"Platform, action-adventure","macOS, Microsoft Windows",5-Oct-17
A Game of Thrones: Genesis,Cyanide,Focus Home Interactive,Strategy,Microsoft Windows,28-Sep-11
"A Passion for Art: Renoir, Cezanne, Matisse, and Dr. Barnes",Corbis Corporation,Corbis Corporation,Fine Art,Microsoft Windows,1995
A to Zap! Featuring the Sunbuddies,ImageBuilder Software,ImageBuilder Software,Educational,"Microsoft Windows, macOS",1995
AaAaAA!!! â€“ A Reckless Disregard for Gravity,Dejobaan Games,Dejobaan Games,Simulation,Microsoft Windows,3-Sep-09
Aaero,Mad Fellows,Mad Fellows,"Action, Rhythm/Music",Microsoft Windows,11-Apr-17
ABC Sports Indy Racing,Shot Sports Software,ABC Interactive,Racing,Microsoft Windows,1997
ABC Sports Monday Night Football,OT Sports],ABC Interactive,Sports,Microsoft Windows,1996
Abomination: The Nemesis Project,Hothouse Creations,Eidos Interactive,"Action, real-time tactics",Microsoft Windows,1999
Absolute Drift,Funselektor Labs,Funselektor Labs,Racing game,Microsoft Windows,29-Jul-15
Absolute Force Online,TQ Digital,NetDragon Websoft Inc.,"First-person shooter, third-person shooter",Microsoft Windows,15-Nov-12
Absolver,Sloclap,Devolver Digital,Action role-playing,Microsoft Windows,29-Aug-17
Abyss Odyssey,ACE Team,Atlus,"Roguelike, action-adventure",Microsoft Windows,28-Jul-15
AbzÃ»,Giant Squid Studios,505 Games,"Adventure, art game, simulation",Microsoft Windows,2-Aug-19
Accel World vs. Sword Art Online: Millennium Twilight,Artdink,Bandai Namco Entertainment,Action role-playing,Microsoft Windows,12-Sep-17
Acceleration of Suguri X Edition,Orange Juice,Rockin' Android,Fighting,Microsoft Windows,15-Feb-11
Accounting (video game),Crows Crows Crows,Crows Crows Crows,Exploration game,Microsoft Windows,18-Oct-16
Ace Combat 7: Skies Unknown,Bandai Namco Studios,Bandai Namco Entertainment,Combat flight simulator,Microsoft Windows,1-Feb-19
Ace Combat: Assault Horizon,Project Aces,Namco Bandai Games,Combat flight simulator,Microsoft Windows,24-Jan-13
Ace Lightning,Absolute Studios,Gamezlab,"Action-adventure, third-person shooter, platform game",IBM PC,25-Oct-02
Ace of Spades,Jagex,Jagex,First-person shooter,"Microsoft Windows, macOS",12-Dec-12
Ace Online,MasangSoft Inc.,Many,"MMO, 3D Space Shooter",Microsoft Windows,26-May-06
Ace Ventura: The CD-Rom Game,7th Level,Bomico Entertainment Software,Graphic Adventure (Point-and-click),Microsoft Windows,31-Oct-96
Aces High,HiTech Creations,HiTech Creations,Combat flight simulator,Microsoft Windows,8-May-00
Aces of the Galaxy,Artech Digital Entertainment,Vivendi Games,Rail shooter,Microsoft Windows,4-Jun-08
Aces of the Pacific,Dynamix,Sierra Entertainment,Combat flight simulator,MS-DOS,8-Nov-92
Achron,"Hazardous Software, Inc.","Hazardous Software, Inc.",Real-time strategy,Microsoft Windows,29-Aug-11
Achtung Panzer: Kharkov 1943,Graviteam,Paradox Interactive,"Real-time strategy, Wargame",Microsoft Windows,25-Feb-10
Achtung Spitfire!,Big Time Software,Avalon Hill,"Strategy, Computer wargaming",Microsoft Windows,31-Aug-97
Acrophobia (game),Andrea Jennifer Shubert,Internet Relay Chat,Word,Microsoft Windows,1995
Act of Aggression,Eugen Systems,Focus Home Interactive,Real-time strategy,Microsoft Windows,2-Sep-15
Act of War: Direct Action,Eugen Systems,"Atari, Inc.",Real-time Strategy (RTS),Microsoft Windows,15-Mar-05
Act of War: High Treason,Eugen Systems,"Atari, Inc.",Real-time Strategy (RTS),Microsoft Windows,24-Mar-06
Action Quake 2,The A-Team,The A-Team,First-person shooter,"BeOS, Linux, Mac OS, Microsoft Windows",12-Nov-98
Activision Anthology,"MumboJumbo, MacPlay",Activision,Compilation,"Microsoft Windows, Macintosh",19-Nov-02
Actua Golf 2,Gremlin Interactive,Fox Sports Interactive,Sports,Microsoft Windows,1998
Actua Ice Hockey,Gremlin Interactive,Gremlin Interactive,Sports,Microsoft Windows,1998
Actua Pool,Gremlin Interactive,Gremlin Interactive,Sports,Microsoft Windows,1999
Actua Soccer,Gremlin Interactive,Greenwood Entertainment,Soccer,Microsoft Windows,2009
Ad Verbum,Nick Montfort,Nick Montfort,"Text Adventure, Interactive Fiction",Microsoft Windows,4-Oct-00
AD&D Masterpiece Collection,Strategic Simulations,Strategic Simulations,Role-playing video game,Microsoft Windows,1996
Adam's Venture,Vertigo Digital Entertainment,Soedesco,Adventure,Microsoft Windows,2009
Addiction Pinball,Team17,MicroProse,Pinball,Microsoft Windows,30-Apr-98
Adidas Power Soccer,Psygnosis France,Psygnosis,Sports,Microsoft Windows,1996
Adrift (video game),Three One Zero,505 Games,Adventure,Microsoft Windows,28-Mar-16
Advent Rising,GlyphX Games,Majesco Entertainment,"Action-adventure, third-person shooter",Microsoft Windows,31-May-05
Adventure at the Chateau d'Or,Karma Labs,Karma Labs,Adventure,Microsoft Windows,2-Apr-01
AdVenture Capitalist,Hyper Hippo Productions,Hyper Hippo Productions,Incremental,Microsoft Windows,30-Mar-15
Adventure Pinball: Forgotten Island,Digital Extremes,Electronic Arts,Pinball,Microsoft Windows,21-Mar-01
Adventures of Pip,Tic Toc Games,Tic Toc Games,"Action, platform",Microsoft Windows,4-Jun-15
AdvertCity,VoxelStorm,VoxelStorm,Tycoon game,"Microsoft Windows, Linux, macOS",17-Apr-15
Africa Trail,MECC,The Learning Company,"Adventure, Educational, Simulation, Sports","Microsoft Windows, macOS",1995
After...,Ciel,Ciel,Visual novel,Microsoft Windows,27-Jun-03
Afterlife,LucasArts,LucasArts,God game,"Microsoft Windows, macOS",1996
Afterparty,Night School Studio,Night School Studio,Adventure,"Windows, macOS",29-Sep-17
Agatha Christie: And Then There Were None,AWE Productions,The Adventure Company,Adventure,Microsoft Windows,30-Sep-05
Agatha Christie: Evil Under the Sun,AWE Productions,The Adventure Company,Adventure,Microsoft Windows,16-Oct-07
Agatha Christie: Murder on the Orient Express,AWE Productions,The Adventure Company,Adventure,Microsoft Windows,14-Nov-06
Age of Booty,Certain Affinity,Capcom,Real-time Strategy (RTS),Microsoft Windows,5-Mar-09
Age of Chivalry,Team Chivalry,Team Chivalry,Action,Microsoft Windows,10-Sep-07
Age of Conan,Funcom,Funcom,MMORPG,Microsoft Windows,20-May-08
Age of Empires,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),Microsoft Windows,15-Oct-97
Age of Empires: The Rise of Rome,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),Microsoft Windows,31-Oct-98
Age of Empires II: HD Edition,"Hidden Path Entertainment, Ensemble Studios",Microsoft Game Studios,Real-time Strategy (RTS),Microsoft Windows,9-Apr-13
Age of Empires II: The African Kingdoms,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),"Microsoft Windows, macOS",9-Apr-15
Age of Empires II: The Age of Kings,Ensemble Studios,"Microsoft Game Studios, Konami",Real-time Strategy (RTS),Microsoft Windows,30-Sep-99
Age of Empires II: The Conquerors,Ensemble Studios,"Microsoft Game Studios, Konami",Real-time Strategy (RTS),Microsoft Windows,24-Aug-00
Age of Empires II: The Forgotten,"Skybox Labs, Forgotten Empires LLC",Microsoft Game Studios,Real-time Strategy (RTS) expansion pack,Microsoft Windows,7-Nov-13
Age of Empires III,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),"Microsoft Windows, macOS",18-Oct-05
Age of Empires III: The Asian Dynasties,"Ensemble Studios, Big Huge Games","Microsoft Game Studios, MacSoft",Real-time Strategy (RTS),"Microsoft Windows, macOS",2-Nov-07
Age of Empires III: The WarChiefs,Ensemble Studios,"Microsoft Game Studios, MacSoft",Real-time Strategy (RTS),"Microsoft Windows, macOS",7-Oct-06
Age of Mythology,Ensemble Studios,"Microsoft Game Studios, MacSoft",Real-time Strategy (RTS),Microsoft Windows,30-Oct-02
Age of Pirates: Caribbean Tales,Akella,"1C Company, Playlogic",Role-playing video game,Microsoft Windows,12-Sep-06
Age of Pirates 2: City of Abandoned Ships,Akella,Playlogic,Role-playing video game,Microsoft Windows,26-May-09
Age of Wonders,Triumph Studios,Gathering of Developers,Turn-based strategy,Microsoft Windows,31-Oct-99
Age of Wonders II: The Wizard's Throne,Triumph Studios,Take Two Interactive,Turn-based strategy,Microsoft Windows,12-Jun-02
Age of Wonders III,Triumph Studios,Triumph Studios,Turn-based strategy,"Microsoft Windows, Linux, macOS",31-Mar-14
Age of Wonders: Shadow Magic,Triumph Studios,Gathering of Developers,Turn-based strategy,Microsoft Windows,25-Jul-03
AGEOD's American Civil War,AGEOD,Matrix Games,Turn-based strategy,Microsoft Windows,26-Jun-07
AGON,Private Moon Studios,Private Moon Studios,Adventure,Microsoft Windows,2003
Ai Space,Ai Space Production Committee,Ai Space Production Committee,"MMOSG, Virtual world",Microsoft Windows,15-Oct-08
Aion,NCsoft,"NCsoft, NC Interactive, Gameforge",Massively multiplayer online role-playing game,Microsoft Windows,25-Nov-08
Air Assault Task Force,ProSIM Company,Shrapnel Games,Wargame,Microsoft Windows,17-Nov-06
Air Conflicts: Secret Wars,Games Farm,bitComposer,Flight simulation,Microsoft Windows,30-Sep-11
Air Conflicts: Vietnam,Games Farm,bitComposer,Flight simulation,Microsoft Windows,26-Nov-13
Airscape: The Fall of Gravity,Cross-Product,Cross-Product,Platformer,"Microsoft Windows, Linux, macOS",11-Aug-15
Alan Wake,Remedy Entertainment,"Microsoft Game Studios, Remedy Entertainment, Nordic Games, E Frontier",Survival horror,Microsoft Windows,14-May-10
Alien Swarm,Valve,Valve,Shoot-em-up,Microsoft Windows,19-Jul-10
Alpha Prime,Black Element Software,"IDEA Games, Meridian4, Bohemia Interactive",First-person shooter,Microsoft Windows,25-May-07
Amnesia: The Dark Descent,Frictional Games,Frictional Games,Horror game,"Microsoft Windows, Linux, macOS",8-Aug-10
Amnesia: A Machine for Pigs,The Chinese Room,Frictional Games,Horror game,"Microsoft Windows, Linux, macOS",10-Sep-13
Anno 1503,Max Design,Sunflowers,City-building game,Microsoft Windows,23-Mar-03
Anno 1602,Max Design,Sunflowers,City-building game,Microsoft Windows,24-Sep-98
Anno 1701,Related Designs,Sunflowers,City-building game,Microsoft Windows,3-Nov-06
Anno 2070,"Related Designs, Blue Byte",UbisoftAdded Achron,City-building game,Microsoft Windows,17-Nov-11
Anno 2205,Blue Byte,Ubisoft,City-building game,Microsoft Windows,3-Nov-15
Anomaly: Warzone Earth,11 bit studios,11 bit studios,Reverse Tower Defense,"Microsoft Windows, Linux, macOS",8-Apr-11
Antichamber,Alexander Bruce,Demruth,Puzzle platformer,"Microsoft Windows, Linux, macOS",31-Jan-13
Anubis II,Data Design Interactive,Metro3D Europe,Action,Microsoft Windows,14-Jul-05
Apex Legends,Respawn Entertainment,Electronic Arts,Battle royale,Microsoft Windows,4-Feb-19
ARMA: Armed Assault,Bohemia Interactive,505 Games,"Tactical shooter, military simulation, open world",Microsoft Windows,10-Nov-06
ARMA 2,Bohemia Interactive,505 Games,"Tactical shooter, military simulation, open world",Microsoft Windows,26-Jun-09
ARMA 3,Bohemia Interactive,Bohemia Interactive,"Tactical shooter, military simulation, open world",Microsoft Windows,12-Sep-13
Asphalt 8: Airborne,Gameloft,Gameloft,"Racing, simulation",Microsoft Windows,22-Aug-13
Assassin's Creed,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,13-Nov-07
Assassinâ€™s Creed II,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,17-Nov-09
Assassin's Creed: Brotherhood,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,16-Nov-10
Assassin's Creed: Revelations,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,15-Nov-11
Assassin's Creed III,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,30-Oct-12
Assassin's Creed IV: Black Flag,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,29-Oct-13
Assassin's Creed Rogue,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,11-Nov-14
Assassin's Creed Unity,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,14-Nov-14
Assassin's Creed Syndicate,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,23-Oct-15
Assassin's Creed Origins,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,27-Oct-17
Assassin's Creed Odyssey,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,5-Oct-18
Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,10-Nov-20
AssaultCube (AC),Rabid Viper Productions,Rabid Viper Productions,First-person shooter,"Microsoft Windows, Linux, macOS",18-Nov-06
AssaultCube Reloaded (ACR),AssaultCube Reloaded Task Force,AssaultCube Reloaded Task Force,"First-person shooter, third-person shooter","Microsoft Windows, Linux, macOS",24-Dec-10
Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,"Racing, simulation",Microsoft Windows,8-Nov-13
Assetto Corsa Competizione,Kunos Simulazioni,Kunos Simulazioni,"Racing, simulation",Microsoft Windows,29-May-19
Astebreed,Edelweiss,Playism,Shoot em up,Microsoft Windows,31-May-14
AstroFire,ORT Software,ORT Software,Shoot em up,MS-DOS,1994
Attack on Titan,Omega Force,Koei Tecmo,"Action, Hack and slash",Microsoft Windows,18-Feb-16
Attack on Titan 2,Omega Force,Koei Tecmo,"Action, Hack and slash",Microsoft Windows,15-Mar-18
Audiosurf,Dylan Fitterer,Dylan Fitterer,"Music, indie",Microsoft Windows,15-Feb-08
Audiosurf 2,Dylan Fitterer,Dylan Fitterer,"Music, indie","Microsoft Windows, Linux, macOS",2-Oct-13
Automation - The Car Company Tycoon Game,Camshaft Software,Camshaft Software,Business simulation,Microsoft Windows,12-Mar-15
Axis Assassin,Electronic Arts,Electronic Arts,Tube shooter,"Apple II, Atari 8-bit, Commodore 64",1983
A Bastard's Tale,No Pest Productions,No Pest Productions,"Action, Adventure",Microsoft Windows,26-May-15
A Bird Story,Freebird Games,Freebird Games,"Adventure, RPG","Microsoft Windows, Linux, macOS",7-Nov-14
A Blind Legend,Dowino,Plug In Digital,"Action, Adventure","Microsoft Windows, macOS",7-Apr-16
A Bloody Night,Emanuele Leoncilli,Emanuele Leoncilli,Action,"Microsoft Windows, macOS",23-May-17
A Boy and His Blob,"Abstraction Games, WayForward","Midnight City, Majesco,",Adventure,"Microsoft Windows, Linux, macOS",19-Jan-16
A Butterfly in the District of Dreams,Life a Little,Sekai Project,Visual Novel,Microsoft Windows,12-May-17
A Chair in a Room: Greenwater,Wolf & Wood Interactive Ltd,Wolf & Wood Interactive Ltd,Adventure,Microsoft Windows,5-Apr-16
A City Sleeps,"Harmonix Music Systems, Inc","Harmonix Music Systems, Inc","Action, Shoot 'em up","Microsoft Windows, macOS",16-Oct-14
A Date in the Park,Cloak and Dagger Games,Cloak and Dagger Games,Adventure,Microsoft Windows,14-Feb-15
A Day in the Woods,RetroEpic Software,RetroEpic Software,Puzzle,"Microsoft Windows, Linux, macOS",28-Oct-11
A dead world's dream,JoqLePecheur,JoqLePecheur,Platformer,"Microsoft Windows,",20-Sep-16
A Demon's Game: Episode 1,RP Studios,RP Studios,"Action, Adventure, Horror","Microsoft Windows,",19-Dec-16
A Detective's Novel,Amaterasu Software,Amaterasu Software,Visual Novel,"Microsoft Windows,",28-Jul-16
A dragon girl looks up at the endless sky,DebonosuWorks Inc.,DebonosuWorks Inc.,RPG,"Microsoft Windows,",27-Oct-16
A Druid's Duel,Thoughtshelter Games,"Surprise Attack, note",Turn-Based Strategy,"Microsoft Windows, macOS",25-Feb-15
A Duel Hand Disaster: Trackher,Ask An Enemy Studios,Ask An Enemy Studios,Shoot 'em up,"Microsoft Windows, macOS",29-Aug-17
ARIDA: Backland's Awakening,Aoca Game Lab,Aoca Game Lab,Adventure,Microsoft Windows,15-Aug-19
Backyard Baseball,Humongous Entertainment,Humongous Entertainment,Sports video game,"Microsoft Windows, Classic Mac OS",10-Oct-97
Baldur's Gate,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing,"Microsoft Windows, macOS",21-Dec-98
Baldur's Gate: Tales of the Sword Coast,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing,"Microsoft Windows, macOS",30-Apr-99
Baldur's Gate II: Shadows of Amn,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing,"Microsoft Windows, macOS",24-Sep-00
Baldur's Gate II: Throne of Bhaal,BioWare,"Black Isle Studios, Interplay Entertainment","Role-playing Microsoft Windows, macOS","Microsoft Windows, macOS",21-Jun-01
Banished,Shining Rock Software,Shining Rock Software,"City building, strategy",Microsoft Windows,18-Feb-14
Bastion,Supergiant Games,Warner Bros. Interactive Entertainment,"Action, role-playing","Microsoft Windows, Linux, macOS",16-Aug-11
Batman: Arkham Asylum,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action, adventure","Microsoft Windows, macOS",15-Sep-09
Batman: Arkham City,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action, adventure","Microsoft Windows, macOS",18-Oct-11
Batman: Arkham Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action, adventure",Microsoft Windows,2-Jun-15
Batman: Arkham Origins,"WB Games MontrÃ©al, Splash Damage",Warner Bros. Interactive Entertainment,"Action, adventure",Microsoft Windows,25-Oct-13
BattleBlock Theater,The Behemoth,The Behemoth,Platformer,"Microsoft Windows, Linux",15-May-14
Battlefield 1942,Digital Illusions CE,Electronic Arts,First-person shooter,"Microsoft Windows, macOS",10-Sep-02
Battlefield 1942: The Road to Rome,Digital Illusions CE,Electronic Arts,First-person shooter,Microsoft Windows,2-Feb-03
Battlefield 1942: Secret Weapons of WWII,Digital Illusions CE,Electronic Arts,First-person shooter,"Microsoft Windows, macOS",4-Sep-03
Battlefield 2,Digital Illusions CE,EA Games,First-person shooter,Microsoft Windows,21-Jun-05
Battlefield 2142,EA Digital Illusions CE,Electronic Arts,First-person shooter,"Microsoft Windows, macOS",17-Oct-06
Battlefield 3,EA Digital Illusions CE,"Sega, Electronic Arts",First-person shooter,Microsoft Windows,25-Oct-11
Battlefield 4,EA Digital Illusions CE,Electronic Arts,First-person shooter,Microsoft Windows,29-Oct-13
Battlefield Heroes,"EA Digital Illusions CE, Easy Studios","Electronic Arts, Aeria Games",First-person shooter,Microsoft Windows,25-Jun-09
Battlefield Play4Free,"EA Digital Illusions CE, Easy Studios",Electronic Arts,First-person shooter,Microsoft Windows,4-Apr-11
Battlefield V,EA Digital Illusions CE,Electronic Arts,First-person shooter,Microsoft Windows,19-Oct-18
Battleforge,EA Phenomic,Electronic Arts,RTS,Microsoft Windows,23-Mar-09
Battleground 2: Gettysburg,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,31-Dec-95
Battleground 3: Waterloo,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,31-May-96
Battleground 4: Shiloh,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,31-Jan-96
Battleground 5: Antietam,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,31-Dec-96
Battleground 6: Napoleon in Russia,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,30-Mar-97
Battleground 7: Bull Run,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,30-Mar-97
Battleground 8: Prelude to Waterloo,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1997
Battleground 9: Chickamauga,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1998
Battleground 10: Middle East,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1997
Battleground 11: East Front,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1997
Battlehawks 1942,Lucasfilm Games,Lucasfilm Games,Flight simulation,"MS-DOS, Amiga, Atari ST",Oct-88
Battles in Time,"Quantum Quality Productions, American Laser Games",Quantum Quality Productions,Strategy,Microsoft Windows,1995
Battles of Napoleon,"Chuck Kroegel, David Landrey","Strategic Simulations, Inc.",Wargame,"Apple II, Commodore 64, MS-DOS",1988
Battleship: Surface Thunder,Hasbro Interactive,Hasbro Interactive,Action,Microsoft Windows,12-Sep-00
Beam Breakers,Similis Software GmbH,JoWooD Productions Software,Futuristic racing,Microsoft Windows,31-Oct-02
BeamNG.drive,BeamNG GmbH,BeamNG GmbH,Vehicle simulation,Microsoft Windows,29-May-15
Beasts and Bumpkins,Worldweaver Ltd,Electronic Arts,Real-time simulation,Microsoft Windows,1997
Betrayal at Krondor,Dynamix,"Dynamix, Activision, Sierra Entertainment",RPG,"MS-DOS, Microsoft Windows",22-Jun-93
Beyond Divinity,Larian Studios,"HIP Interactive, Ubisoft, Focus Home Interactive",RPG,Microsoft Windows,2004
Beyond Good & Evil,"Ubisoft Pictures, Ubisoft Milan",Ubisoft,Action-adventure,Microsoft Windows,11-Nov-03
Big Rigs: Over the Road Racing,Stellar Stone,GameMill Publishing,Racing Game,Microsoft Windows,20-Nov-03
Billy the Wizard: Rocket Broomstick Racing,Data Design Interactive,Metro3D Europe,"Racing, platform",Microsoft Windows,8-Sep-11
The Binding of Isaac,Edmund McMillen,"Florian Himsl, Edmund McMillen",Roguelike,"Microsoft Windows, macOS, Linux",7-May-14
BioShock,"2K Boston, 2K Australia",2K Games,First-person shooter,"Microsoft Windows, macOS",21-Aug-07
BioShock 2,2K Marin,2K Games,First-person shooter,"Microsoft Windows, macOS",9-Feb-10
BioShock Infinite,Irrational Games,2K Games,First-person shooter,"Microsoft Windows, macOS, Linux",26-Mar-13
Black Mesa,Crowbar Collective,Crowbar Collective,First-person shooter,"Microsoft Windows, Linux",5-May-15
Black Skylands,Hungry Couch Games,tinyBuild,"Top-down shooter, Open world",Microsoft Windows,12-Jul-21
Blade Strangers,Studio Saizensen,Nicalis,Fighting,Microsoft Windows,28-Aug-18
Blade Symphony,Puny Human,Puny Human Games,Action,Microsoft Windows,7-May-14
Blades of Time,Gaijin Entertainment,Gaijin Entertainment,"Hack and slash, platformer, action-adventure","Microsoft Windows, macOS",6-Mar-12
Blitzkrieg,Nival Interactive,"CDV, 1C Company, Virtual Programming",Real-time tactics,"Microsoft Windows, macOS",4-Jun-03
Borderlands,Gearbox Software,2K Games,"Action role-playing, first-person shooter",Microsoft Windows,20-Oct-09
Borderlands 2,"Gearbox Software, Iron Galaxy Studios",2K Games,"Action role-playing, first-person shooter","Microsoft Windows, Linux, macOS",18-Sep-12
Borderlands 3,Gearbox Software,2K Games,"Action role-playing, first-person shooter",Microsoft Windows,13-Sep-19
Borderlands: The Pre-Sequel!,"Gearbox Software, 2K Australia",2K Games,"Action role-playing, first-person shooter","Microsoft Windows, Linux, macOS",14-Oct-14
Braid,Number None,Number None,"Puzzle, platform","Microsoft Windows, Linux, macOS",10-Apr-09
Brawlhalla,Blue Mammoth Games,Ubisoft,Fighting,"Microsoft Windows, macOS",17-Oct-17
Bridge Project,Halycon Media GmbH & Co. KG,BitComposer Games,Simulation,"Microsoft Windows, macOS",28-Mar-13
Brothers in Arms: Earned in Blood,Gearbox Software,Ubisoft,First-person shooter,"Microsoft Windows, OS X",4-Oct-05
Brothers in Arms: Hell's Highway,Gearbox Software,Ubisoft,First-person shooter,Microsoft Windows,23-Sep-08
Brothers in Arms: Road to Hill 30,Gearbox Software,Ubisoft,First-person shooter,"Microsoft Windows, Mac OS X",15-Feb-05
Burnout Paradise: The Ultimate Box,Criterion Games,Electronic Arts,Racing,Microsoft Windows,3-Feb-09
Bus Simulator,Stillalive Studios,Astragon,Simulator,"Windows 10 64-Bit, Mac OS X",7-Sep-21
Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,Bethesda Softworks,"Survival horror, first-person shooter",Microsoft Windows,24-Oct-05
Call of Duty,Infinity Ward,"MediaQuest, Activision, Aspyr","Action, FPS","Microsoft Windows, macOS",29-Oct-03
Call of Duty 2,Infinity Ward,"Konami, Activision, Aspyr","Action, FPS","Microsoft Windows, macOS",25-Oct-05
Call of Duty 4: Modern Warfare,Infinity Ward,"Square Enix, Activision","Action, FPS","Microsoft Windows, macOS",5-Nov-07
Call of Duty: Black Ops,"Treyarch, n-Space","Square Enix, Activision","Action, FPS","Microsoft Windows, macOS",9-Nov-10
Call of Duty: Black Ops 2,Treyarch,"Square Enix, Activision","Action, FPS",Microsoft Windows,12-Dec-12
Call of Duty: Black Ops 3,Treyarch,Activision,FPS,Microsoft Windows,6-Nov-15
Call of Duty: Black Ops 4,Treyarch,Activision,FPS,Microsoft Windows,12-Oct-18
Call of Duty: Ghosts,Infinity Ward,"Square Enix, Activision","Action, FPS",Microsoft Windows,5-Nov-13
Call of Duty: Infinite Warfare,Infinity Ward,Activision,First-person shooter,Microsoft Windows,4-Nov-16
Call of Duty: Modern Warfare 2,Infinity Ward,"Activision, Square Enix","Action, FPS","Microsoft Windows, macOS",10-Nov-09
Call of Duty: Modern Warfare 3,"Sledgehammer Games, Treyarch, Infinity Ward, Raven Software","Square Enix, Activision","Action, FPS","Microsoft Windows, macOS",8-Nov-11
Call of Duty Online,"Tencent, Raven Software",Tencent,"Action, FPS",Microsoft Windows,14-Jan-13
Call of Duty: United Offensive,"Gray Matter Studios, MediaQuest, Aspyr",Activision,"Action, FPS","Microsoft Windows, macOS",14-Sep-04
Call of Duty: World at War,"Exakt Entertainment, Rebellion Developments, Treyarch, n-Space",Activision Blizzard,"Action, FPS",Microsoft Windows,11-Nov-08
CarneyVale: Showtime,Singapore-MIT GAMBIT Game Lab,Microsoft Game Studios,Platformer,Microsoft Windows,11-Nov-10
Castlevania: Lords of Shadow,"MercurySteam, Kojima Productions, Climax Studios",Konami,"Action-adventure, hack and slash",Microsoft Windows,5-Oct-10
Champions of Krynn,"Strategic Simulations, Inc.","Strategic Simulations, Inc., U.S. Gold","Fantasy, RPG","MS-DOS, Apple II, Commodore 64, Amiga",1-Jun-90
Chaos Island: The Lost World,DreamWorks Interactive,DreamWorks Interactive,Real-time strategy,Microsoft Windows,30-Oct-97
Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,"Action, first-person slasher","Microsoft Windows, Linux, macOS",16-Oct-12
Cities in Motion,Colossal Order,Paradox Interactive,Business simulation,"Microsoft Windows, Linux, macOS",23-Feb-11
Cities in Motion 2,Colossal Order,Paradox Interactive,Business simulation,"Microsoft Windows, Linux, macOS",2-Apr-13
Cities: Skylines,Colossal Order,Paradox Interactive,"City-building, Simulation","Microsoft Windows, Linux, macOS",10-Mar-15
Cities XL,Monte Cristo,Monte Cristo,"City-building game, massively multiplayer online game",Microsoft Windows,8-Oct-09
