Name,Developer,Producer,Genre,Operating System,Date Released
Silent Hunter 5: Battle of the Atlantic,Ubisoft Bucharest,Ubisoft,Submarine simulator,Microsoft Windows,2-Mar-10
Silkroad Online,Joymax,"Joymax, Yahoo!",MMORPG,Microsoft Windows,2004
Silver,Spiral House,Infogrames,Action RPG,Microsoft Windows,1999
SimCity,Maxis,Electronic Arts,City-building,"Microsoft Windows, macOS",5-Mar-13
SimCity 2000,Maxis,Electronic Arts,City-building,"Microsoft Windows, Various",1994
SimCity 3000,Maxis,Electronic Arts,City-building,"Microsoft Windows, Linux, macOS",31-Jan-99
SimCity 4,Maxis,"Electronic Arts, Aspyr Media",City-building,"Microsoft Windows, macOS",14-Jan-03
SimCity Societies,Tilted Mill Entertainment,Electronic Arts,City-building,Microsoft Windows,13-Nov-07
The Sims,"Edge of Reality, Maxis",Electronic Arts,Life simulation,"Microsoft Windows, Mac OS, OS X, Linux",11-Feb-00
The Sims 2,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",14-Sep-04
The Sims 2: Apartment Life,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",25-Aug-08
The Sims 2: Bon Voyage,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",4-Sep-07
The Sims 2: FreeTime,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",22-Feb-08
The Sims 2: Nightlife,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",13-Sep-05
The Sims 2: Open for Business,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",6-Mar-06
The Sims 2: Seasons,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",23-Feb-07
The Sims 2: University,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",11-Mar-05
The Sims 3,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",2-Jun-09
The Sims 3: Generations,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",31-May-11
The Sims 3: Into the Future,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",22-Oct-13
The Sims 3: Island Paradise,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",25-Jun-13
The Sims 3: Late Night,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",26-Oct-10
The Sims 3: Seasons,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",13-Nov-12
The Sims 3: Showtime,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",6-Mar-12
The Sims 3: Supernatural,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",4-Sep-12
The Sims 3: University Life,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",5-Mar-13
The Sims: Hot Date,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",14-Nov-01
